time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-09-15 09:30:00-04:00,MLTrader,795825cdce8c450bbafca6f34cc8bec2,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,131.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,8a2df1b0da2b4de4a93689a214aa5ffc,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,cf6d10e55aba45a3877a1b1a31938828,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,b12294d84a4047f1858d802c5d48be6b,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,84a996ab0be645b69a5a9f141bcc5246,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,b12294d84a4047f1858d802c5d48be6b,SPY,sell,market,fill,1,day,0.0,1,stock,384.1400146484375,65.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,84a996ab0be645b69a5a9f141bcc5246,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.1400146484375,100.0,0.0
2022-11-30 09:30:00-05:00,MLTrader,23b88e20752e4ac89e2e72a32464f18d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-11-30 09:30:00-05:00,MLTrader,eb9b115a000646d7896c6576d5bafe27,SPY,buy,stop,fill,1,day,0.0,1,stock,403.3470153808594,100.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,efd45219711b4978bb5b25ab9a605f66,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,efd45219711b4978bb5b25ab9a605f66,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,116.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,e8d59666446a4ca885a3bc97e5d466c6,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,eac2377de2bd4651ada6caca9035611e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,7ffdee93847443f3b21a4bc4532e7098,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,eac9202f27424fe69e116d0fa763b0d3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,7ffdee93847443f3b21a4bc4532e7098,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,116.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,eac9202f27424fe69e116d0fa763b0d3,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,57.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,12a5f241af2742b28616e4537129c637,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,0110271090de40a6b80c72ffcee0cb3d,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,57.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,c28933e746374b2eb24946251c14f1dd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c28933e746374b2eb24946251c14f1dd,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,110.0,0.0
2023-11-22 09:30:00-05:00,MLTrader,67ed2213a53e462497f61b40333b6030,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-22 09:30:00-05:00,MLTrader,67ed2213a53e462497f61b40333b6030,SPY,buy,market,fill,1,gtc,0.0,1,stock,454.9800109863281,54.0,0.0
2023-11-27 09:30:00-05:00,MLTrader,3880430ef7134136aa3249f35f52ed2f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,a590643340dc434093075d0600774962,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,9202870443024947ae4d117e7dff87ab,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,e9d4d57610344f4693fba9d0911c045b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,1260afcc9e5845b9a61597a4bc93e9e7,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,d8614383be1d45acaf77c206dbd1f1a7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-27 09:30:00-05:00,MLTrader,1260afcc9e5845b9a61597a4bc93e9e7,SPY,sell,market,fill,1,day,0.0,1,stock,454.6499938964844,164.0,0.0
2023-11-27 09:30:00-05:00,MLTrader,d8614383be1d45acaf77c206dbd1f1a7,SPY,sell,market,fill,1,gtc,0.0,1,stock,454.6499938964844,27.0,0.0
2023-12-28 09:30:00-05:00,MLTrader,4cd34b468c034a23ad18adbb1da15b1f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-12-28 09:30:00-05:00,MLTrader,24b3e512198f4be49619a51ec1b5f259,SPY,buy,stop,fill,1,day,0.0,1,stock,477.3824935913086,27.0,0.0
